name,artist,id,danceability,key,mode,instrumentalness,duration,time_signature,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
The Passenger,Iggy Pop,3yP0cohcr97BUNJcgvmSVg,0.5,0,1,0,284067,4,0.846,-8.098,0.0457,0.0797,134.937,0.241,0.738,"0
",1
Best of You,Foo Fighters,4nUM7pGcTUK2pY1d2LybrT,0.37,1,0,2.90E-06,256600,4,0.944,-4.979,0.0767,0.00701,130.315,0.135,0.345,"1
",1
Smooth Criminal - Radio Edit,Michael Jackson,1mzn6CQ71eUmgCSfbVmicN,0.856,1,1,0.557,257240,4,0.958,-6.078,0.0729,0.172,118.198,0.318,0.605,"0
",1
Feel,Robbie Williams,2Ms33RTRCT6gArrpcrPxmo,0.599,5,1,0.000467,263867,4,0.732,-6.843,0.026,0.0145,97.997,0.143,0.295,"73
",1
Come As You Are,Nirvana,5r35Zd5Onw3aV3Gm9XdgtI,0.5,4,0,0.00655,219027,4,0.832,-6.281,0.0325,8.36E-05,120.066,0.0924,0.553,"0
",1
Where Is The Love?,Black Eyed Peas,0uqPG793dkDDN7sCUJJIVC,0.835,5,1,0,272533,4,0.687,-3.18,0.184,0.101,94.059,0.132,0.828,"1
",1
Harder, Better,2cJz1loJp5EZM6shmQpLZN,0.814,6,0,0.00333,226413,4,0.73,-8.876,0.149,0.0392,123.494,0.343,0.646, Faster,1
Hide and Seek,Imogen Heap,121so7t3AeX6nLMvxy9ZP9,0.452,9,1,0,268867,4,0.179,-11.165,0.0824,0.899,121.488,0.178,0.103,"53
",1
Clint Eastwood,Gorillaz,1RKUoGiLEbcXN4GY4spQDx,0.663,10,0,0,340920,4,0.694,-8.627,0.172,0.0249,167.964,0.0698,0.524,"76
",1
Fortunate Son,Creedence Clearwater Revival,0Ko737UNjXO17LK4Urdlwo,0.623,0,1,0.0201,138400,4,0.529,-12.419,0.0353,0.17,132.74,0.489,0.603,"0
",1
Lemon Tree,Fools Garden,1yN2z5XVtaAOYGdeEqEuqd,0.668,1,1,0,191027,4,0.478,-8.849,0.0447,0.669,143.155,0.11,0.678,"0
",1
Technologic,Daft Punk,1iNeZGJsoC0D7ZyJTdIbDS,0.812,9,1,1.09E-05,284280,4,0.516,-6.963,0.224,0.000369,127.498,0.0991,0.633,"57
",1
Teardrop,Massive Attack,67Hna13dNDkZvBpTXRIaOJ,0.615,11,0,0.497,330773,4,0.419,-8.8,0.0395,0.0173,76.997,0.135,0.216,"70
",1
I Still Haven't Found What I'm Looking For,U2,3NldGYmhDLK98kOOo4J1lg,0.564,1,1,0.00339,277333,4,0.84,-6.116,0.0343,0.012,100.649,0.0949,0.663,"0
",1
I Will Follow You into the Dark,Death Cab for Cutie,3kZC0ZmFWrEHdUCmUqlvgZ,0.517,5,1,0,189187,4,0.206,-12.233,0.0421,0.924,80.401,0.118,0.489,"66
",1
Everybody Hurts,R.E.M.,28AZM08WStiEXfqN065BvN,0.254,2,1,0.0237,318240,3,0.383,-8.036,0.0282,0.614,188.2,0.172,0.178,"0
",1
Remember the Name (feat. Styles of Beyond),Fort Minor,7vwkKw2Xd7Pks1X712Au0T,0.688,8,1,2.87E-06,230493,4,0.835,-4.162,0.0911,0.0583,84.858,0.0795,0.88,"58
",1
I'm Gonna Be (500 Miles),The Proclaimers,66S14BkJDxgkYxLl5DCqOz,0.851,4,1,0,219467,4,0.551,-5.177,0.0396,0.151,131.922,0.0827,0.807,"75
",1
This Love,Maroon 5,5zF2zGPkL6Ipsn9AfAK6RP,0.714,5,0,0,206200,4,0.868,-4.596,0.0363,0.0551,95.05,0.0987,0.78,"1
",1
Tears in Heaven,Eric Clapton,7utRJ4BeYx85khzP3lKoBX,0.498,9,1,0.536,271760,4,0.242,-12.238,0.0257,0.835,153.744,0.133,0.312,"63
",1
All Star,Smash Mouth,22c2pt75xtnDddA5Zlm0yy,0.73,11,1,0,200560,4,0.862,-5.876,0.0313,0.0398,104.018,0.0818,0.77,"0
",1
When You Were Young,The Killers,3gNGi2iUGHXGpBQHce6Nua,0.467,11,1,0.0484,220427,4,0.988,-3.313,0.112,0.000152,130.435,0.28,0.321,"0
",1
New Shoes,Paolo Nutini,265Anh9hGoozFigjUVLUeD,0.748,8,1,1.09E-05,203653,4,0.735,-8.692,0.0903,0.47,150.04,0.0851,0.854,"67
",1
Someday,The Strokes,56NkIxSZZiMpFP5ZNSxtnT,0.542,9,1,1.51E-06,183391,4,0.531,-7.481,0.0301,0.0033,105.97,0.338,0.671,"67
",1
Knocked Up,Kings of Leon,6BLpO1HyXTVHlv0fTT3mme,0.382,9,1,0.0928,430347,4,0.688,-12.569,0.0419,0.268,121.352,0.184,0.207,"0
",1
Sympathy For The Devil,The Rolling Stones,0DQtwZLpvln583U1WWv6To,0.658,9,1,0,377760,4,0.675,-10.967,0.242,0.604,115.574,0.0428,0.587,"0
",1
Still Waiting,Sum 41,0jqK7sGTLsHPkQrrcrGuKD,0.431,7,1,3.63E-05,158733,4,0.95,-4.918,0.26,0.00105,191.936,0.272,0.56,"70
",1
Brothers In Arms - Edit,Dire Straits,4TZCgwX3si4FsGqboRct9A,0.415,8,0,0.82,290714,4,0.265,-12.232,0.0274,0.506,79.024,0.0656,0.158,"0
",1
Speed of Sound,Coldplay,7clUVcSOtkNWa58Gw5RfD4,0.514,11,0,0.0345,287907,4,0.898,-6.765,0.0577,0.00488,123.067,0.0746,0.353,"70
",1
Money For Nothing - Edit,Dire Straits,6j5XX0wwygH7kqTWplx7j4,0.679,2,0,1.38E-05,246840,4,0.676,-9.734,0.0371,0.0777,134.238,0.0938,0.8,"0
",1
Time After Time,Cyndi Lauper,05NEcj4geEg0JthGNSGUI7,0.725,0,1,0,237867,4,0.433,-9.809,0.0295,0.603,130.536,0.095,0.341,"0
",1
Om du lämnade mig nu,Lars Winnerbäck,17q9gSD214wClyCjqrhmgH,0.489,9,1,0.00719,247427,4,0.475,-11.012,0.0266,0.27,107.878,0.122,0.46,"59
",1
The Reason,Hoobastank,7afSN5zhUhkbpRFpYKYztK,0.472,4,1,0,232800,4,0.671,-4.649,0.029,0.0129,82.952,0.159,0.0681,"0
",1
Around the World,Daft Punk,1pKYYY0dkg23sQQXi0Q5zN,0.956,7,1,0.889,429533,4,0.795,-5.311,0.15,0.00356,121.294,0.0906,0.841,"72
",1
Curly Sue,Takida,0uIiMH63tVwLfmMt7OXx2h,0.53,0,0,0,233027,4,0.505,-8.843,0.0278,0.0402,147.964,0.109,0.191,"0
",1
All The Small Things,blink-182,12qZHAeOyTf93YAWvGDTat,0.442,0,1,0,168000,4,0.893,-4.878,0.0505,0.00844,148.119,0.529,0.712,"1
",1
Denied,Sonic Syndicate,3kn91xR0w9zuzLr7DThHcC,0.444,0,0,2.41E-05,231680,4,0.977,-2.998,0.0859,0.000116,99.976,0.291,0.402,"0
",1
Last Resort,Papa Roach,0SjhCnjTT2bXD9RtU8bFT9,0.59,4,0,0.000661,199893,4,0.894,-3.661,0.0579,0.000387,90.604,0.269,0.732,"1
",1
Fields Of Gold,Sting,22gLGCKbFKwmgZhrpVcnFb,0.653,2,1,0.0155,217733,4,0.344,-11.758,0.0246,0.346,104.009,0.0715,0.291,"57
",1
First Day Of My Life,Bright Eyes,00o6POeoYnf971C6EZ8Fil,0.567,1,0,4.68E-05,183356,4,0.203,-16.735,0.0365,0.904,93.8,0.113,0.4,"0
",1
18 and Life,Skid Row,1HlGblweLq0eAwnb0NY1EQ,0.457,1,0,7.18E-05,231280,4,0.794,-6.624,0.0298,0.000384,90.439,0.131,0.354,"61
",1
Someday,Flipsyde,3QoyR6lUcQwre11ltnN5yq,0.6,9,0,0,239547,4,0.755,-4.619,0.0455,0.0909,160.358,0.0736,0.353,"0
",1
The Show Must Go On,Queen,3lA3Pm88kZiD7F4X0cXeI4,0.393,11,0,0,275800,4,0.488,-13.016,0.0325,0.494,84.252,0.0919,0.203,"0
",1
A-Punk,Vampire Weekend,5dKBaysNJtfpyNTRa5lqDb,0.551,2,1,0.0438,137760,4,0.821,-4.489,0.0539,0.0102,174.923,0.153,0.842,"71
",1
Your Song,Elton John,17VegeBoHvMlIByrdu64KR,0.551,3,1,7.04E-06,244227,4,0.27,-12.808,0.0326,0.851,128.221,0.0966,0.289,"1
",1
Hard Knock Life - The Ghetto Anthem,JAY-Z,7pO62ysbW2Wg5Y6pzKNEN7,0.86,9,0,0.00159,238467,4,0.674,-5.878,0.339,0.0912,77.005,0.0322,0.592,"0
",1
Smack My Bitch Up,The Prodigy,2lBpN5CZ3zLyVIPejUhN6Y,0.603,10,0,0.629,342733,4,0.993,-4.516,0.142,0.00334,136.223,0.11,0.247,"0
",1
We Will Rock You,Queen,35SH9W19yyN4Hxq8qHptPH,0.7,11,0,0,121560,4,0.434,-9.563,0.084,0.599,81.149,0.219,0.57,"0
",1
Heart of Gold,Neil Young,6xhEQmrVvtpEdw5mfySgJw,0.538,7,1,0.0462,187280,4,0.48,-9.863,0.0268,0.204,171.773,0.0955,0.834,"0
",1
Crazy Train,Ozzy Osbourne,2nKOUDSm0EhVvQWoDyjl27,0.475,9,1,0.00162,290160,4,0.915,-3.565,0.0608,0.0152,137.239,0.349,0.59,"0
",1
1979,The Smashing Pumpkins,5KRRcT67VNIZUygEbMoIC1,0.768,8,1,0.712,265893,4,0.744,-11.267,0.0338,0.0218,127.036,0.063,0.963,"0
",1
I'd Rather Dance With You,Kings of Convenience,4hGOhC87bn7JBdYykOJJvJ,0.843,0,0,0.0567,209027,4,0.833,-6.156,0.0341,0.329,141.99,0.126,0.972,"58
",1
